Company Name,Career Website,Tier,Alert set
Sanofi,https://jobs.sanofi.com/en,Current,
Google,https://www.google.com/about/careers/applications/,B,
McKinsey,https://www.mckinsey.com/careers/home,S,
Datadog,https://careers.datadoghq.com/,B,
Mistral AI,https://mistral.ai/careers,B,
BNP Paribas,https://group.bnpparibas/en/careers,S,
Doctolib,https://careers.doctolib.com/,B,
IBM,https://www.ibm.com/careers,B,
Morgan Stanley,https://www.morganstanley.com/people,A,
Visa,https://corporate.visa.com/en/careers.html,B,
JP Morgan,https://www.jpmorganchase.com/careers,A,
Qonto,https://qonto.com/en/careers,B,
Orange,https://orange.jobs/site/en-home/,A,
Orano,https://jobs.orano.group/en_US/jobs/Home,A,
Stellantis,https://careers.stellantis.com/,A,
TotalEnergies,https://careers.totalenergies.com/en,S,
SAP,https://jobs.sap.com/,B,
BCG,https://careers.bcg.com/global/en/,S,
Decathlon,https://careers.smartrecruiters.com/DECATHLON,C,
Airbus,https://www.airbus.com/en/careers,S,
L'Oreal,https://careers.loreal.com/,S,
Deezer,https://www.deezerjobs.com/en/,B,
Brevo,https://www.brevo.com/careers/,B,
Thales,https://careers.thalesgroup.com/global/en/,S,
Dataiku,https://www.dataiku.com/company/careers/,B,
Palantir,https://www.palantir.com/careers/,B,
Rolex,https://www.linkedin.com/company/rolex/jobs/,C,
Novartis,https://www.novartis.com/careers,C,
UBS,https://www.ubs.com/global/en/careers.html,C,
HSBC,https://www.hsbc.com/careers,A,
N26,https://n26.com/en-eu/careers,C,
Spotify,https://www.lifeatspotify.com/jobs,B,
Canal+,https://www.welcometothejungle.com/fr/companies/canal-group/jobs,B,
Disney,https://www.disneycareers.com/en,B,
EDF,https://www.edf.fr/en/the-edf-group/join-us,S,
Anthropic,https://www.anthropic.com/careers,B,
Mirakl,https://www.mirakl.com/careers,B,
Hugging Face,https://apply.workable.com/huggingface/,B,
Cartier,https://careers.cartier.com/,S,
Patek Philippe,https://www.patek.com/en/careers,C,
Audemars Piguet,https://careers.audemarspiguet.com/en/home,C,
Google Zürich,https://www.google.com/about/careers/applications/jobs/results/?location=Zurich%2C%20Switzerland,C,
Nestlé,https://www.nestle.com/jobs,C,
Alstom,https://www.alstom.com/careers,A,
Ubisoft,https://www.ubisoft.com/en-us/company/careers,B,
Samsung,https://www.samsungcareers.com/?lang=en,A,
Tata Consultancy Services,https://www.tcs.com/careers,B,
Adobe,https://careers.adobe.com/us/en,B,
Salesforce,https://www.salesforce.com/company/careers/,B,
Capgemini,https://www.capgemini.com/us-en/careers/,S,
Accenture,https://www.accenture.com/fr-fr/careers/jobsearch?jk=&sb=1&vw=0&is_rj=0&pg=1,S,
Oracle,https://www.oracle.com/careers/,B,
TCS,https://www.tcs.com/fr-fr/carriere,B,
Microsoft,https://careers.microsoft.com,B,
Amazon,https://www.amazon.jobs,B,
Meta,https://www.metacareers.com,B,
Apple,https://www.apple.com/careers,B,
Netflix,https://jobs.netflix.com,B,
LinkedIn,https://careers.linkedin.com,B,
OpenAI,https://openai.com/careers,B,
Snap,https://careers.snap.com,B,
Cisco,https://jobs.cisco.com,B,
