title,country,city,contract,sector,job
Intern - Nordics & NL Coverage,International,Londres,Stage,Autre,Stagiaire
"Relationship Manager, Coverage US – Telecoms & Technology",International,New York,CDI,Commercial,Chargé d'affaires corporate et institutionnels
Sales CEE,France,Paris,CDI,Commercial,Sales
Application Production Support  (Equities),International,New York,CDI,Informatique,Production / Support Engineer
Front Office IT Support Business Analyst,International,New York,CDI,Informatique,Business analyst
Oversight Quality & Controls Analyst,International,New York,CDI,Organisation & Qualité,Oversight & Controls Officer
Equity Trader Assistant,International,New York,CDI,Gestion des Operations et Support clientele,Gestionnaire opérations marché
Equity Derivatives Structured Notes Sales,International,New York,CDI,Finance de marché,Sales Trader
Chargé(e) de Clientèle Corporate (F/H) CDI,France,Paris,CDI,Commercial,Conseiller technico-commercial
IT Project Management Officer,France,Paris,CDI,Organisation & Qualité,Project Management Officer
Responsable Mobilité Internationale (F/H),France,Paris,CDI,Ressources Humaines & Juridique,Manager Leader compensation & benefits
Squad Lead Support Pre-Trade FI/FX/Crédit  (H/F),France,Paris,CDI,Informatique,Squad Lead
Intern - AIR (12 months),International,Londres,Stage,Autre,Stagiaire
Legal Counsel,International,Londres,CDI,Ressources Humaines & Juridique,Juriste
Internship - UK Global Securities Financing (12 months),International,Londres,Stage,Autre,Stagiaire
Gestionnaire Middle Office Commodity Trade Finance (F/H),France,Paris,CDI,Gestion des Operations et Support clientele,Gestionnaire middle office trade finance
Chargé de Relations Clients (F/H) - NWM,France,Paris,CDI,Commercial,Chargé de relation client
Juriste Transactions Immobilières Senior (F/H) - AEW,France,Paris,CDI,Ressources Humaines & Juridique,Juriste
Chargé de conformité-  Surveillance Marchés (F/H),France,Paris,CDI,Risques Controles et Engagements,Chargé de conformité
MEAN Stack Developer - 12 months - F/M - Singapore,International,,VIE,Informatique,Application owner
Asset Manager - AEW Italy,International,Milan,CDI,Finance de marché,Gestionnaire d'actifs immobiliers
Relationship Manager Trade & Cash Banks (F/H),France,Paris,CDI,Commercial,Chargé d'affaires corporate et institutionnels
Assistant de direction (F/H),France,Paris,CDI,Logistique & Assistance,Assistant de direction
Credit Risk Officer - FIG,International,New York,CDI,Risques Controles et Engagements,Analyste risques de crédit
Real Estate & Hospitality Team – Portfolio Manager 2,International,New York,CDI,Finance de marché,Gérant de portefeuille
Senior Business Analyst (F/H),France,Paris,CDI,Informatique,Business analyst
Corporate Finance Relationship Manager - Infrastructures,International,Londres,CDI,Commercial,Chargé d'affaires financements Infrastructures
V.I.E. - 12 months - IT Support F/M - Luxembourg,International,,VIE,Informatique,Analyste support
Chief Risk Officer UK,International,Londres,CDI,Risques Controles et Engagements,Manager Leader risques
Analyste Senior Modèles de Notations Credit et ESG Institutions Financières (F/H),France,Paris,CDI,Risques Controles et Engagements,Ingénieur quantitatif risques
"VP, IT Support Analyst for Commodities Desk",International,Hong Kong,CDI,Informatique,Production / Support Engineer
Apprenticeship - KYC & KYB Apprentice – UK Investment Banking,International,Londres,Contrat en alternance,Gestion des Operations et Support clientele,Analyste KYC
"Assistant Vice President, Database Engineer",International,Hong Kong,CDI,Informatique,Systems Specialist
Risk coordination officer & Business Support,France,Paris,CDI,Commercial,Chargé de projet commercial
Senior Finance Officer,International,,CDI,Finance & Stratégie,"Analyste comptable, fiscal et financier"
Kaufmännischen Sachbearbeiter (m/w/d) Bilanzgliederung,International,Halle,CDI,Commercial,Chargé de clientèle entreprises
Juriste Financier Contrats-cadre (H/F),France,Paris,CDI,Ressources Humaines & Juridique,Juriste financier
Master Agreement Negotiator,International,New York,CDI,Ressources Humaines & Juridique,Juriste
Securities Clearing Vice President,International,New York,CDI,Gestion des Operations et Support clientele,Gestionnaire opérations marché
middle office Global trade operator,International,Milan,CDI,Gestion des Operations et Support clientele,Gestionnaire middle office financement
Developer squad Exposures (FERMAT app) (F/H),France,Charenton le pont,CDI,Informatique,Développeur
Financing Operations Agency and Solutions (Middle Office),International,Londres,CDI,Gestion des Operations et Support clientele,Gestionnaire back office financement
CRM & Sales support - (F/M) - NIMI Italy - Apprenticeship,International,Milan,Stage,Commercial,Assistant commercial
Senior Credit Risk Officer Latin America,International,New York,CDI,Risques Controles et Engagements,Analyste risques de crédit
Head of Sales - Budapest (Hungary),France,Paris,CDI,Commercial,Manager Leader commercial
Head of Agency and Servicing,International,New York,CDI,Gestion des Operations et Support clientele,Gestionnaire Middle Office Agency
Financial Planning and Analysis Lead,International,Londres,CDI,Finance & Stratégie,Expert Leader comptabilité
V.I.E. - 12 months - Sales & Business Management Support F/M - Luxembourg,International,,VIE,Commercial,Assistant commercial
Sales & Client Support Analyst,International,Londres,CDI,Gestion des Operations et Support clientele,Gestionnaire middle office marché
"Director – Procurement Lead, APAC",International,Hong Kong,CDI,Logistique & Assistance,Manager Leader achats
V.I.E. - 12 months - Financial Planning & Analysis F/M - London,International,Londres,VIE,,
Global Banking Analyst,International,Londres,CDI,Informatique,Business analyst
Expert Risques Sécurité (F/H),France,Puteaux,CDI,Risques Controles et Engagements,Expert risques IT et sécurité
Développeur Junior - C#/SQL (F/H),France,Paris,CDI,Informatique,Développeur
Squad Lead  - Production Application Fixed Income Murex - (F/H),France,Charenton le pont,CDI,Informatique,Squad Lead
Developer Java ActiveViam (F/H),France,Charenton le pont,CDI,Informatique,Développeur
Chargé(e) de Conformité et Contrôle Interne (F/H) - Mirova - CDD,France,Paris,CDD,Risques Controles et Engagements,Chargé de conformité
"V.I.E. - 12 months - Junior Financial Controller, Real Assets Funds F/M - Luxembourg",International,Luxembourg,VIE,Gestion des Operations et Support clientele,Gestionnaire middle office marché
Developer Summit Securities (F/H),France,Paris,CDI,Informatique,Développeur
Vice President - APAC Head of APAC IT User Support,International,,CDI,Informatique,Manager Leader Technologie
Gestionnaire Trade Finance - Fees & Payment (F/H),France,Charenton le pont,CDI,Gestion des Operations et Support clientele,Gestionnaire back office trade finance
Manager Leader - Regulatory Reporting (F/H),France,Charenton le pont,CDI,Gestion des Operations et Support clientele,Manager Leader opérations
Audit Manager,International,Londres,CDI,Risques Controles et Engagements,Chef de mission
V.I.E. - 12 months - Global Trade F/M - Madrid,International,Madrid,VIE,Autre,VIE
Corporate Strategy Officer (F/H),France,Paris,CDI,Finance & Stratégie,Chargé d'études stratégie
Ingénieur de Production DevOps Equity (F/H),France,Paris,CDI,Informatique,Production / Support Engineer
Data Project Analyst (F/H),France,Paris,CDI,,
Gérant Multi-Gestion Dette Privée (F/H) - AEW,France,Paris,CDI,Finance de marché,Gérant de portefeuille
Responsable de Développement Assurance Vie (F/H) - TEORA,France,Paris,CDI,"Marketing, Animation commerciale & Communication",Animateur commercial de réseau
Intern - Infrastructure & Energy Finance (12 months),International,Londres,Stage,Autre,Stagiaire
Conseiller financier Epargne Salariale et Retraite (F/H) - NIE,France,Caen,CDI,Gestion des Operations et Support clientele,Chargé de Relation Opérationnelle Clients
"Head of Client Support Group, Asia Pacific",International,,CDI,Gestion des Operations et Support clientele,Manager Leader opérations support client
"Head of Compliance, Risk & MLRO – Natixis S.A. Swedish Branch",International,Stockholm,CDI,Risques Controles et Engagements,Manager Leader conformité / contrôles
"Originator, Real Estate Finance",International,New York,CDI,Commercial,Originateur
Accountant,International,Milan,CDI,Finance & Stratégie,Comptable
Regulatory Project Management Coordinator – Credit Risk (H/F),France,Paris,CDI,Risques Controles et Engagements,Chef de projet risques / conformité / contrôles
Chef de projet Ressources Humaines Purple Academy - F/H,France,Paris,CDI,Ressources Humaines & Juridique,Chef de projets ressources humaines
Paralegal Contentieux (F/H),France,Paris,CDI,Ressources Humaines & Juridique,Chargé d'activités juridiques
Analyste risque crédit senior (F/H) - NWM,France,Paris,CDI,Risques Controles et Engagements,Analyste risques de crédit
Chargé conformité RH et Projets transverses- F/H,France,Paris,CDI,Ressources Humaines & Juridique,Chef de projets ressources humaines
Analyste risque de crédit contrepartie (F/H),France,Paris,CDI,Commercial,Ingénieur financier
Fiscaliste Produits F/H - Natixis Investment Managers,France,Paris,CDI,Ressources Humaines & Juridique,Fiscaliste
"Assistant Vice President, Internal Audit",International,Hong Kong,CDI,Risques Controles et Engagements,Auditeur interne
"Intern, UK Corporate Coverage",International,Londres,Stage,Commercial,Chargé d'affaires corporate et institutionnels
V.I.E. - 12 months - Accounting F/M - London,International,Londres,VIE,Finance & Stratégie,Analyste normes comptables et prudentielles
Business Analyst Summit Securities (F/H),France,Paris,CDI,Informatique,Business analyst
Alternant - 1 an - Portfolio Infra & Energy F/H,France,Paris,Contrat en alternance,Commercial,Chargé d'affaires corporate et institutionnels
Squad Lead APS - Financing (F/H),France,Charenton le pont,CDI,Informatique,Squad Lead
"Responsable Commercial (F/H) - BPCE Equipment Solutions - Contrat Durée Indéterminée - Lyon, France",France,Lyon,CDI,,
Workplace Management Specialist,International,Londres,CDI,Logistique & Assistance,Expert Leader services techniques
Ingénieur Solutions IA – Finance de Marché (F/H),France,Paris,CDI,Informatique,Data scientist
Project Leader - Analyse de Risques et P&L (F/H),France,Paris,CDI,Informatique,Project Leader Technologie
Transversal Risk Manager,France,Paris,CDI,Risques Controles et Engagements,Analyste risques de marché
Real Assets Portfolio Management - Asia-Pacific and Middle East (APME),International,Dubaï,CDI,Finance de marché,Gérant de portefeuille
Senior Institutional sales Roma - Natixis IMI Italy,International,Milan,CDI,Commercial,Chargé d'affaires asset management
Developer Trade Repository (F/H),France,Charenton le pont,CDI,Informatique,Développeur
IT Quant Pretrade & XVA (F/H),France,Paris,CDI,Informatique,IT Quant
Macro Derivatives Operations Specialist,International,New York,CDI,Gestion des Operations et Support clientele,Project Leader opérations
Ingénieur de Production Applicative – Capital Markets (F/H),France,Charenton le pont,CDI,Informatique,Production / Support Engineer
Business Analyst - Market & Static Data (F/H),France,Paris,CDI,Informatique,Business analyst
Project Leader / RTE AMeRisC (F/H),France,Paris,CDI,Informatique,Project Leader Technologie
Client Tax Officer (F/H),France,Paris,CDI,Gestion des Operations et Support clientele,Chargé de projet support opérations
IT Quant Pretrade & XVA (F/H),France,Paris,CDI,Informatique,IT Quant
IT Quant Pretrade and XVA (F/H),France,Paris,CDI,Informatique,IT Quant
Developer Global Markets Risk Monitoring (F/H),France,Charenton le pont,CDI,Informatique,Développeur
"Vice President, Operations Manager, Taiwan",International,Taipei,CDI,Gestion des Operations et Support clientele,Gestionnaire opérations marché
IT Business Analyst,International,New York,CDI,Informatique,Business analyst
Credit Middle Office,International,New York,CDI,Risques Controles et Engagements,Analyste risques de crédit
Business Analyst - Pre Trade Tech Convergence (F/H),France,Paris,CDI,Informatique,Business analyst
IT Corporate Manager,International,New York,CDI,Informatique,Manager Leader Technologie
Developer Calculation Core Services (F/H),France,Paris,CDI,Informatique,Développeur
IT Business Analyst - Data and BI (F/H),France,Paris,CDI,Informatique,Business analyst
Loan Trading Support Administrator,International,New York,CDI,Informatique,Analyste support
Juriste Financier - Debt Capital Markets (F/H),France,Paris,CDI,Ressources Humaines & Juridique,Juriste financier
Project manager Indexation (F/H),France,Paris,CDI,Informatique,Chef de projet SI
Background Check - Sterling,International,New York,CDI,Finance & Stratégie,Comptable
Squad Lead Summit Securities (F/H),France,Paris,CDI,Informatique,Squad Lead
Gérant senior obligataire (F/H) - Ostrum,France,Paris,CDI,Finance de marché,Gérant de portefeuille
AVP/VP IT helpdesk engineer,International,Sydney,CDI,Informatique,Production / Support Engineer
Tech Lead Pricing Pre Trade (F/H),France,Paris,CDI,Informatique,Tech Lead
Corporate Coverage Relationship Manager,International,Seoul,CDI,Commercial,Chargé d'affaires corporate et institutionnels
Développeur Pretrade Pricing (F/H),France,Paris,CDI,Informatique,Développeur
Project Manager - Global Markets Value Streams (H/F),France,Paris,CDI,Informatique,Chef de projet SI
Juriste Financier - Strategic Equity Capital Markets (F/H),France,Paris,CDI,Ressources Humaines & Juridique,Juriste financier
Chef de projet Risques de Marché (F/H),France,Paris,CDI,Risques Controles et Engagements,Chef de projet risques / conformité / contrôles
